"Admin2","Province_State","Combined_Key","Jan-22-2020","Jan-23-2020","Jan-24-2020","Jan-25-2020","Jan-26-2020","Jan-27-2020","Jan-28-2020","Jan-29-2020","Jan-30-2020","Jan-31-2020","Feb-01-2020","Feb-02-2020","Feb-03-2020","Feb-04-2020","Feb-05-2020","Feb-06-2020","Feb-07-2020","Feb-08-2020","Feb-09-2020","Feb-10-2020","Feb-11-2020","Feb-12-2020","Feb-13-2020","Feb-14-2020","Feb-15-2020","Feb-16-2020","Feb-17-2020","Feb-18-2020","Feb-19-2020","Feb-20-2020","Feb-21-2020","Feb-22-2020","Feb-23-2020","Feb-24-2020","Feb-25-2020","Feb-26-2020","Feb-27-2020","Feb-28-2020","Feb-29-2020","Mar-01-2020","Mar-02-2020","Mar-03-2020","Mar-04-2020","Mar-05-2020","Mar-06-2020","Mar-07-2020","Mar-08-2020","Mar-09-2020","Mar-10-2020","Mar-11-2020","Mar-12-2020","Mar-13-2020","Mar-14-2020","Mar-15-2020","Mar-16-2020","Mar-17-2020","Mar-18-2020","Mar-19-2020","Mar-20-2020","Mar-21-2020","Mar-22-2020","Mar-23-2020","Mar-24-2020","Mar-25-2020","Mar-26-2020","Mar-27-2020","Mar-28-2020","Mar-29-2020","Mar-30-2020","Mar-31-2020","Apr-01-2020","Apr-02-2020","Apr-03-2020","Apr-04-2020","Apr-05-2020","Apr-06-2020","Apr-07-2020","Apr-08-2020","Apr-09-2020","Apr-10-2020","Apr-11-2020","Apr-12-2020","Apr-13-2020","Apr-14-2020","Apr-15-2020","Apr-16-2020","Apr-17-2020","Apr-18-2020","Apr-19-2020","Apr-20-2020","Apr-21-2020","Apr-22-2020","Apr-23-2020","Apr-24-2020","Apr-25-2020","Apr-26-2020","Apr-27-2020","Apr-28-2020","Apr-29-2020","Apr-30-2020","May-01-2020","May-02-2020","May-03-2020","May-04-2020","May-05-2020","May-06-2020","May-07-2020","May-08-2020","May-09-2020","May-10-2020","May-11-2020","May-12-2020","May-13-2020","May-14-2020","May-15-2020","May-16-2020","May-17-2020","May-18-2020","May-19-2020","May-20-2020","May-21-2020","May-22-2020","May-23-2020","May-24-2020","May-25-2020","May-26-2020","May-27-2020","May-28-2020","May-29-2020","May-30-2020","May-31-2020","Jun-01-2020","Jun-02-2020","Jun-03-2020","Jun-04-2020","Jun-05-2020","Jun-06-2020","Jun-07-2020","Jun-08-2020","Jun-09-2020","Jun-10-2020","Jun-11-2020","Jun-12-2020","Jun-13-2020","Jun-14-2020","Jun-15-2020","Jun-16-2020","Jun-17-2020","Jun-18-2020","Jun-19-2020","Jun-20-2020","Jun-21-2020","Jun-22-2020","Jun-23-2020","Jun-24-2020","Jun-25-2020","Jun-26-2020","Jun-27-2020","Jun-28-2020","Jun-29-2020","Jun-30-2020","Jul-01-2020","Jul-02-2020","Jul-03-2020","Jul-04-2020","Jul-05-2020","Jul-06-2020","Jul-07-2020","Jul-08-2020","Jul-09-2020","Jul-10-2020","Jul-11-2020","Jul-12-2020","Jul-13-2020","Jul-14-2020","Jul-15-2020","Jul-16-2020","Jul-17-2020","Jul-18-2020","Jul-19-2020","Jul-20-2020","Jul-21-2020","Jul-22-2020","Jul-23-2020","Jul-24-2020","Jul-25-2020","Jul-26-2020","Jul-27-2020","Jul-28-2020","Jul-29-2020","Jul-30-2020","Jul-31-2020","Aug-01-2020","Aug-02-2020","Aug-03-2020"
"Bernalillo","New Mexico","Bernalillo New Mexico US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,8,0,2,4,3,9,0,6,5,5,0,7,38,8,0,28,0,19,54,0,44,16,45,0,18,82,0,33,15,0,22,0,14,36,15,24,0,34,31,20,19,18,6,44,27,46,19,53,37,24,19,18,31,18,20,23,13,25,13,25,31,14,16,8,7,59,-11,40,0,24,10,15,21,51,11,19,12,10,13,25,19,16,16,17,8,12,11,29,17,13,11,12,28,19,-12,37,15,13,23,20,31,58,50,34,43,45,34,35,99,54,79,61,60,87,99,99,70,80,110,58,66,162,102,114,101,96,86,59,85,126,96,91,87,61,76,85,61,47,65,60,19
"District of Columbia","District of Columbia","District of Columbia District of Columbia US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,9,9,31,27,4,18,21,46,44,40,33,38,59,94,91,67,104,145,100,95,114,229,83,137,118,97,80,103,139,153,126,190,127,134,171,108,155,167,171,142,51,102,112,217,335,139,219,154,152,139,193,245,203,170,117,96,99,152,135,171,81,147,164,117,237,105,73,144,115,109,72,86,46,179,84,56,29,130,104,79,70,63,57,85,63,52,65,55,58,32,19,29,56,49,32,36,38,36,34,31,26,31,32,44,35,38,25,45,12,35,33,54,73,37,64,58,46,59,40,80,50,39,79,67,78,88,102,42,78,68,63,78,87,54,58,69,79,69,39
"Denver","Colorado","Denver  Colorado US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,3,8,6,5,0,13,4,16,18,18,28,23,28,38,48,50,55,41,57,74,47,57,73,53,56,22,37,43,104,82,69,65,99,56,66,81,87,87,61,96,124,67,101,213,102,96,99,109,99,111,91,130,123,83,118,128,125,93,109,69,48,69,67,105,93,96,108,64,70,68,90,108,95,22,43,53,47,118,135,121,85,27,52,63,60,64,38,27,32,38,28,28,25,44,29,46,25,44,48,72,38,27,33,37,75,60,66,46,60,58,26,58,79,51,40,25,48,85,86,88,108,73,70,50,59,87,66,90,66,51,58,103,118,159,130,162,104,51,131,95,47,94,70,84,36
"Fayette","Kentucky","Fayette Kentucky US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,2,1,0,2,0,0,5,0,13,0,0,0,39,15,28,0,6,0,4,2,0,1,0,25,0,0,31,0,18,9,3,1,8,1,0,0,4,0,3,9,3,1,3,4,2,6,0,33,8,3,8,22,14,26,0,24,17,0,58,63,20,0,14,32,-5,5,7,16,0,0,25,6,11,41,12,0,46,10,33,5,32,14,0,48,18,36,14,25,31,0,38,0,42,14,15,12,6,3,44,40,53,33,46,6,9,45,35,28,15,0,0,78,59,49,40,42,36,20,78,28,61,7,38,16,49,36,26,32,28,76,49,23,93,24,64,42,50,43,80,30
"Hinds","Mississippi","Hinds Mississippi US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,13,4,7,7,5,7,8,8,0,24,19,9,21,1,14,4,11,9,25,16,15,13,12,4,17,21,13,11,12,10,10,20,6,18,11,3,6,14,15,20,26,9,2,35,23,23,12,57,6,7,5,6,17,19,28,23,5,-1,14,14,25,30,22,16,5,6,16,39,12,28,7,22,7,31,8,30,7,26,27,22,20,0,39,18,11,34,41,41,0,0,0,0,146,53,57,126,81,40,64,91,63,41,95,135,98,18,38,55,51,55,127,84,84,49,61,86,129,101,102,59,112,144,117,118,191,152,140,71,113,101,163,90,85,33,60
"Honolulu","Hawaii","Honolulu Hawaii US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,4,0,18,0,13,0,17,0,10,8,32,0,15,16,18,25,55,29,15,11,20,0,22,0,9,7,2,6,11,0,4,9,3,0,0,3,1,3,3,1,0,0,3,0,1,0,0,0,4,1,3,0,-1,1,2,1,3,0,0,1,0,0,0,1,0,-2,0,0,0,0,0,3,2,2,0,0,1,1,1,7,8,2,1,6,3,7,14,17,4,8,0,7,18,25,0,15,2,3,13,11,13,5,23,2,14,7,17,25,19,24,6,38,20,34,25,38,18,19,18,26,16,23,15,25,14,21,17,50,58,66,54,28,46,97,121,118,87,44,197
"Juneau","Alaska","Juneau Alaska US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,4,1,1,1,2,0,0,0,0,1,0,1,1,1,3,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,3,0,1,1,0,3,2,4,1,1,7,-1,2,1,2,3,6,1,2,0,0,1,3
"Los Alamos","New Mexico","Los Alamos New Mexico US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0
"Montgomery","Virginia","Montgomery Virginia US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,9,0,1,1,13,1,0,1,1,0,6,2,0,2,4,2,0,0,1,0,3,0,1,1,0,0,0,3,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,1,0,4,1,2,0,2,3,6,0,3,1,1,0,0,0,0,-1,2,0,0,0,10,3,0,2,4,0,6,4,10,7,2,2,2,5,1,3,5,4,3,2,5,5,9,6,2,2,3,3,4,5,4,0,4,8,2,5,3,15,2,1,4,9,2,5,9
"Muscogee","Georgia","Muscogee Georgia US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,3,0,0,4,8,1,4,5,3,3,4,13,4,41,29,17,2,15,14,2,15,15,4,8,10,5,10,12,3,11,5,8,8,3,9,13,4,8,9,5,6,6,9,1,7,6,14,7,13,13,0,0,16,11,5,31,22,27,14,14,4,19,6,9,2,11,17,5,36,24,53,26,0,32,60,36,15,36,33,18,16,56,21,14,33,1,22,44,128,51,36,26,42,24,16,143,62,92,110,112,82,29,40,138,94,190,70,68,123,87,85,81,54,125,61,53,85,30,92,58,81,59,53,83,68,93,64,58,48,61
"Orleans","Louisiana","Orleans Louisiana US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,12,27,13,13,57,51,44,95,92,33,116,108,152,170,173,128,52,130,354,436,878,328,490,100,499,377,128,172,174,119,65,51,67,51,78,59,47,47,148,21,40,54,23,11,45,23,15,40,32,43,29,14,19,18,33,18,19,29,8,11,25,35,15,19,-6,28,13,47,15,20,40,0,9,52,16,24,22,0,41,19,14,15,18,18,14,16,8,7,10,32,15,25,55,19,18,17,31,0,-11,43,27,18,35,39,28,43,0,79,36,55,68,41,71,0,76,36,63,81,57,132,122,67,80,101,100,106,108,0,105,114,72,135,63,103,0,146,113,60,49,84,51,0,129,42
"Philadelphia","Pennsylvania","Philadelphia Pennsylvania US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,6,9,15,10,23,18,11,79,77,90,133,162,166,87,182,243,360,425,330,578,181,539,544,505,252,492,501,364,427,317,311,604,518,451,200,339,475,0,1198,651,0,689,302,577,358,665,669,0,0,903,370,287,350,470,364,330,102,224,242,314,256,257,0,347,179,227,341,309,225,0,0,504,237,175,255,224,0,252,153,126,121,126,122,0,162,131,129,156,121,110,0,137,116,64,68,118,0,0,275,219,108,0,250,89,0,209,142,124,143,136,29,0,245,91,68,259,113,26,0,208,148,144,157,135,37,0,396,150,132,228,201,0,0,500,142,132,136,141,0,0,311
"Richmond City","Virginia","Richmond City Virginia US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,-6,8,3,2,1,3,3,5,0,1,7,19,24,20,3,6,5,9,7,13,9,6,13,8,2,11,13,10,20,5,10,4,9,8,20,14,3,8,11,16,25,18,21,16,19,15,20,21,18,18,16,19,27,19,54,76,17,21,32,24,53,46,45,33,28,49,23,21,69,47,67,81,37,21,33,39,65,29,30,16,19,23,24,56,25,18,16,24,23,34,31,25,23,23,40,18,44,26,25,11,14,4,14,21,14,14,12,13,20,12,28,25,29,17,25,16,25,23,20,22,25,35,20,27,16,9,17,50,32,37,26,36,43,10,46
"San Francisco","California","San Francisco California US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,5,0,4,5,5,0,12,3,8,19,6,8,24,23,21,26,45,56,29,32,34,23,37,16,47,32,39,15,39,54,48,73,60,15,85,30,26,6,39,79,20,59,15,2,69,38,14,54,16,44,22,9,24,20,59,22,104,26,52,47,38,52,11,23,17,5,27,28,37,40,48,6,13,122,30,17,19,13,9,29,36,59,56,-18,17,26,31,54,14,35,32,14,16,31,38,28,22,24,19,11,38,37,1,0,127,34,30,48,103,68,44,49,42,45,71,57,0,0,216,28,51,74,171,110,96,68,50,56,164,115,141,86,103,58,96,105,115,108,145,90,43,132,226,152,148,88,105
"Wake","North Carolina","Wake North Carolina US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,1,3,3,1,0,7,3,7,0,20,0,14,7,27,23,0,23,20,27,20,38,24,8,21,10,37,14,20,6,33,46,6,25,36,19,18,5,13,13,8,0,20,7,11,12,89,30,32,19,22,15,17,4,37,30,23,27,14,16,13,25,26,30,33,34,13,41,0,54,19,67,41,14,23,38,14,81,57,22,64,26,68,60,76,90,88,80,65,78,163,60,168,123,119,88,64,86,136,144,192,163,151,71,227,14,204,124,141,193,169,120,155,198,159,170,251,68,172,233,361,139,243,221,233,129,168,156,274,140,129,196,159,125,253,189,172,249,49,175,220,175,110,144,192
